	dataset	size	len_90pcl
0	ambigqa	19806	17
1	natural_questions_direct_ans	96676	17
2	natural_questions_direct_ans_test	96676	17
3	natural_questions	96075	17
4	winogrande_xl	40398	43
5	winogrande_test	640	44
6	winogrande_l	10234	44
7	winogrande_s	640	44
8	winogrande_m	2558	44
9	winogrande_xs	160	45
10	commonsenseqa_test	9741	54
11	commonsenseqa	9741	54
12	openbookqa	4957	60
13	openbookqa_dev	4957	60
14	social_iqa	33410	66
15	qasc	8134	70
16	qasc_test	8134	70
17	arc_easy_dev	2251	90
18	arc_easy	2251	90
19	ai2_science_elementary	623	96
20	arc_hard_dev	1119	101
21	arc_hard	1119	101
22	ai2_science_middle	605	105
23	physical_iqa	16113	128
24	contrast_sets_boolq	341	243
25	boolq_np	9727	253
26	boolq	9427	253
27	squad2	130124	294
28	squad1_1	87489	295
29	contrast_sets_ropes	974	308
30	ropes	10924	345
31	openbookqa_with_ir_dev	4957	352
32	openbookqa_with_ir	4957	352
33	contrast_sets_drop	947	404
34	mctest	1480	429
35	mctest_corrected_the_separator	1480	435
36	arc_easy_with_ir	2251	436
37	arc_easy_with_ir_dev	2251	436
38	arc_hard_with_ir	1119	441
39	arc_hard_with_ir_dev	1119	441
40	drop	77398	482
41	qasc_with_ir	8134	515
42	qasc_with_ir_test	8134	515
43	multirc	312	539
44	race_string	87860	568
45	race_string_dev	87860	568
46	contrast_sets_quoref	700	606
47	quoref	22264	714
48	natural_questions_with_dpr_para	96676	992
49	natural_questions_with_dpr_para_test	96676	992
50	narrativeqa_dev	65494	1278
51	narrativeqa	65494	1278
52	newsqa	75300	1461
