	f1	em	dataset	split	ff_dim	k
0	92.9	86.3	squad1_1	dev	16384	16384
1	88.0	84.2	squad2	dev	16384	16384
2	87.3	83.9	race_string	dev	16384	16384
3	95.2	92.8	mctest_corrected_the_separator	dev	16384	16384
4	83.2	78.6	arc_easy	dev	16384	16384
5	89.6	89.6	boolq	dev	16384	16384
6	82.5	78.8	openbookqa	dev	16384	16384
7	78.3	70.2	arc_hard	dev	16384	16384
8	51.6	30.8	narrativeqa	dev	16384	16384
9	72.3	71.8	commonsenseqa	dev	16384	16384
10	92.9	86.3	squad1_1	dev	16384	1024
11	88.0	84.3	squad2	dev	16384	1024
12	87.3	83.9	race_string	dev	16384	1024
13	95.2	92.8	mctest_corrected_the_separator	dev	16384	1024
14	83.2	78.6	arc_easy	dev	16384	1024
15	89.5	89.5	boolq	dev	16384	1024
16	83.1	79.4	openbookqa	dev	16384	1024
17	77.8	69.6	arc_hard	dev	16384	1024
18	51.6	30.8	narrativeqa	dev	16384	1024
19	72.1	71.7	commonsenseqa	dev	16384	1024
20	93.0	86.4	squad1_1	dev	16384	512
21	88.1	84.4	squad2	dev	16384	512
22	87.3	83.9	race_string	dev	16384	512
23	95.2	92.8	mctest_corrected_the_separator	dev	16384	512
24	82.6	77.9	arc_easy	dev	16384	512
25	89.3	89.3	boolq	dev	16384	512
26	82.9	79.2	openbookqa	dev	16384	512
27	77.4	68.9	arc_hard	dev	16384	512
28	51.6	30.9	narrativeqa	dev	16384	512
29	72.2	71.7	commonsenseqa	dev	16384	512
30	92.8	86.3	squad1_1	dev	16384	256
31	88.2	84.5	squad2	dev	16384	256
32	87.4	84.1	race_string	dev	16384	256
33	95.4	93.1	mctest_corrected_the_separator	dev	16384	256
34	82.0	77.0	arc_easy	dev	16384	256
35	89.3	89.3	boolq	dev	16384	256
36	82.5	78.8	openbookqa	dev	16384	256
37	77.7	69.6	arc_hard	dev	16384	256
38	51.5	30.8	narrativeqa	dev	16384	256
39	72.4	71.9	commonsenseqa	dev	16384	256
40	92.4	85.9	squad1_1	dev	16384	128
41	88.2	84.6	squad2	dev	16384	128
42	87.0	83.5	race_string	dev	16384	128
43	95.7	93.1	mctest_corrected_the_separator	dev	16384	128
44	81.7	76.8	arc_easy	dev	16384	128
45	88.7	88.7	boolq	dev	16384	128
46	81.6	78.0	openbookqa	dev	16384	128
47	77.9	68.2	arc_hard	dev	16384	128
48	51.1	30.4	narrativeqa	dev	16384	128
49	70.9	70.5	commonsenseqa	dev	16384	128
50	91.7	84.9	squad1_1	dev	16384	64
51	87.7	83.9	squad2	dev	16384	64
52	85.9	82.2	race_string	dev	16384	64
53	95.2	93.1	mctest_corrected_the_separator	dev	16384	64
54	81.0	75.6	arc_easy	dev	16384	64
55	88.1	88.1	boolq	dev	16384	64
56	80.9	77.6	openbookqa	dev	16384	64
57	72.9	62.5	arc_hard	dev	16384	64
58	50.2	29.7	narrativeqa	dev	16384	64
59	70.6	70.2	commonsenseqa	dev	16384	64
60	90.3	82.7	squad1_1	dev	16384	32
61	85.9	81.6	squad2	dev	16384	32
62	83.0	78.7	race_string	dev	16384	32
63	93.8	91.9	mctest_corrected_the_separator	dev	16384	32
64	77.6	71.9	arc_easy	dev	16384	32
65	85.0	85.0	boolq	dev	16384	32
66	76.0	72.6	openbookqa	dev	16384	32
67	69.1	59.2	arc_hard	dev	16384	32
68	48.4	28.6	narrativeqa	dev	16384	32
69	66.1	65.5	commonsenseqa	dev	16384	32
70	85.8	76.2	squad1_1	dev	16384	16
71	78.6	71.7	squad2	dev	16384	16
72	76.1	69.8	race_string	dev	16384	16
73	90.0	87.2	mctest_corrected_the_separator	dev	16384	16
74	68.9	61.2	arc_easy	dev	16384	16
75	80.9	80.6	boolq	dev	16384	16
76	69.5	62.8	openbookqa	dev	16384	16
77	65.2	51.8	arc_hard	dev	16384	16
78	43.7	24.7	narrativeqa	dev	16384	16
79	58.6	57.5	commonsenseqa	dev	16384	16
80	92.9	86.3	squad1_1	dev	16384	2048
81	88.0	84.2	squad2	dev	16384	2048
82	87.3	83.9	race_string	dev	16384	2048
83	95.2	92.8	mctest_corrected_the_separator	dev	16384	2048
84	83.2	78.6	arc_easy	dev	16384	2048
85	89.6	89.6	boolq	dev	16384	2048
86	82.5	78.8	openbookqa	dev	16384	2048
87	78.3	70.2	arc_hard	dev	16384	2048
88	51.6	30.8	narrativeqa	dev	16384	2048
89	72.3	71.8	commonsenseqa	dev	16384	2048
